sku,category,cv,volatility_tier,stockout_rate,fill_rate,lost_revenue,max_consecutive_stockout_days,stockout_episodes
8_4,Cat_A,0.3089057152527631,Medium,0.0016429353778751369,0.9992857747953645,3514.559386970359,69,8
5_37,Cat_D,0.31683430064256046,Medium,0.000547645125958379,0.9995391943667802,1875.4789272046764,69,10
2_16,Cat_B,0.29874748722562944,Medium,0.000547645125958379,0.9997411419441937,1557.471264369815,54,7
10_26,Cat_C,0.2776689208413311,Medium,0.000547645125958379,0.9998545758113523,1426.4367816082085,55,10
7_27,Cat_C,0.36010988458482573,Medium,0.001095290251916758,0.9996851286379844,874.7126436792314,69,11
1_4,Cat_A,0.33275983003014237,Medium,0.000547645125958379,0.9998774030474697,446.7432950201328,48,13
10_49,Cat_E,0.3055072447442485,Medium,0.000547645125958379,0.999927077483413,439.84674329767586,69,9
6_29,Cat_C,0.27655896371882277,Medium,0.000547645125958379,0.9999564208653746,423.75478926987853,69,9
1_42,Cat_E,0.2907023327694168,Medium,0.000547645125958379,0.9999428941245031,345.21072796633234,55,9
7_41,Cat_E,0.34641487187089354,Medium,0.000547645125958379,0.9998950296541231,296.55172413658875,83,9
7_4,Cat_A,0.3467840237187434,Medium,0.000547645125958379,0.9999360610666002,179.31034482644463,48,9
5_40,Cat_D,0.32620531291136434,Medium,0.000547645125958379,0.999974091523544,104.59770114830462,48,10
5_39,Cat_D,0.30434893009154557,Medium,0.000547645125958379,0.9999836469271819,99.23371647455497,55,8
9_30,Cat_C,0.2911319896651093,Medium,0.0,1.0,0.0,48,9
9_31,Cat_D,0.27282068495947065,Medium,0.0,1.0,0.0,40,8
9_32,Cat_D,0.2870442799497138,Medium,0.0,1.0,0.0,48,8
9_33,Cat_D,0.27300863366890027,Medium,0.0,1.0,0.0,47,8
9_34,Cat_D,0.31265808496880504,Medium,0.0,1.0,0.0,41,10
9_35,Cat_D,0.2706052242379681,Medium,0.0,1.0,0.0,34,10
9_36,Cat_D,0.2686579265888071,Medium,0.0,1.0,0.0,47,11
9_37,Cat_D,0.3044768334607465,Medium,0.0,1.0,0.0,27,8
9_38,Cat_D,0.2729117084533502,Medium,0.0,1.0,0.0,34,10
9_39,Cat_D,0.2904984730121025,Medium,0.0,1.0,0.0,47,7
9_9,Cat_A,0.2801505188121347,Medium,0.0,1.0,0.0,41,12
10_28,Cat_C,0.26477859421095806,Medium,0.0,1.0,0.0,41,10
10_29,Cat_C,0.26526039266620205,Medium,0.0,1.0,0.0,48,10
10_3,Cat_A,0.29721780636064343,Medium,0.0,1.0,0.0,48,9
